layout,patch,label,azimuth_degrees,elevation_degrees,x,y,z,direct_out_only,note
sonic_sphere_30_1,1,Z,0.0,90.0,0.0000000000,0.0000000000,1.0000000000,0,
sonic_sphere_30_1,2,U1,0,45.0,0.0000000000,0.7071067812,0.7071067812,0,
sonic_sphere_30_1,3,U2,72,45.0,0.6724985120,0.2185080122,0.7071067812,0,
sonic_sphere_30_1,4,U3,144,45.0,0.4156269378,-0.5720614028,0.7071067812,0,
sonic_sphere_30_1,5,U4,-144,45.0,-0.4156269378,-0.5720614028,0.7071067812,0,
sonic_sphere_30_1,6,U5,-72,45.0,-0.6724985120,0.2185080122,0.7071067812,0,
sonic_sphere_30_1,7,E1,0,0.0,0.0000000000,1.0000000000,0.0000000000,0,
sonic_sphere_30_1,8,E2,36,0.0,0.5877852523,0.8090169944,0.0000000000,0,
sonic_sphere_30_1,9,E3,72,0.0,0.9510565163,0.3090169944,0.0000000000,0,
sonic_sphere_30_1,10,E4,108,0.0,0.9510565163,-0.3090169944,0.0000000000,0,
sonic_sphere_30_1,11,E5,144,0.0,0.5877852523,-0.8090169944,0.0000000000,0,
sonic_sphere_30_1,12,E6,180,0.0,0.0000000000,-1.0000000000,0.0000000000,0,
sonic_sphere_30_1,13,E7,-144,0.0,-0.5877852523,-0.8090169944,0.0000000000,0,
sonic_sphere_30_1,14,E8,-108,0.0,-0.9510565163,-0.3090169944,0.0000000000,0,
sonic_sphere_30_1,15,E9,-72,0.0,-0.9510565163,0.3090169944,0.0000000000,0,
sonic_sphere_30_1,16,E10,-36,0.0,-0.5877852523,0.8090169944,0.0000000000,0,
sonic_sphere_30_1,17,L1,18,-45.0,0.2185080122,0.6724985120,-0.7071067812,0,
sonic_sphere_30_1,18,L2,54,-45.0,0.5720614028,0.4156269378,-0.7071067812,0,
sonic_sphere_30_1,19,L3,90,-45.0,0.7071067812,0.0000000000,-0.7071067812,0,
sonic_sphere_30_1,20,L4,126,-45.0,0.5720614028,-0.4156269378,-0.7071067812,0,
sonic_sphere_30_1,21,L5,162,-45.0,0.2185080122,-0.6724985120,-0.7071067812,0,
sonic_sphere_30_1,22,L6,-162,-45.0,-0.2185080122,-0.6724985120,-0.7071067812,0,
sonic_sphere_30_1,23,L7,-126,-45.0,-0.5720614028,-0.4156269378,-0.7071067812,0,
sonic_sphere_30_1,24,L8,-90,-45.0,-0.7071067812,0.0000000000,-0.7071067812,0,
